id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16976088,Retreat and Relax 1 block off Magazine St.,113582723,Lauren,,East Riverside,29.92217,-90.089,Entire home/apt,150,1,190,2020-03-18,4.70,1,269
16977226,Modern Home With New Orleans Charm,70253404,Mummi,,Central City,29.9428,-90.08853,Entire home/apt,105,30,99,2020-01-01,2.42,1,89
16983907,Uptown NOLA Experience,27668955,Murat,,West Riverside,29.91991,-90.1213,Entire home/apt,150,2,179,2020-05-23,4.45,1,170
16994658,Six Blocks From Jazz Fest - License #: 17STR-07088,113840073,Oswald,,Seventh Ward,29.97803,-90.07452,Entire home/apt,149,2,35,2020-02-26,0.90,1,180
16994683,Garden District Condo,113841239,Haluk,,Lower Garden District,29.9315,-90.0752,Entire home/apt,175,3,49,2020-02-16,1.22,1,66
16999134,Stupendous Irish Channel Abode,6644345,Aaron,,Irish Channel,29.92368,-90.08239,Entire home/apt,119,1,197,2020-03-09,4.84,1,97
16999710,Amazing Magazine St Flat in the Garden District,51541620,Samuel,,Lower Garden District,29.93276,-90.07282,Entire home/apt,121,1,139,2020-03-11,3.44,11,0
17011500,The Bend of Bourbon,114048780,Sammye,,French Quarter,29.96541,-90.06306,Entire home/apt,400,1,46,2020-02-02,1.15,1,179
17012572,Spacious Marigny Home with Bikes,4209030,Michelle,,Marigny,29.96543,-90.05504,Private room,64,2,10,2020-02-22,0.25,2,89
17014125,Irish Channel Apartment 1 block off Magazine St.,114076972,Tim,,East Riverside,29.92257,-90.08839,Entire home/apt,125,2,219,2020-03-13,5.40,1,93
17030147,DOWNTOWN CANAL ST STUDIO,99430572,Canal Street Rentals,,Central Business District,29.95203,-90.06767,Entire home/apt,93,3,76,2020-03-19,1.88,34,22
17031629,Ruben's Alehouse (Beer OnTap Included),4763702,Michael,,Central City,29.93957,-90.08131,Entire home/apt,350,30,77,2020-03-15,1.89,3,355
17041419,"Beautiful apartment, across from City Park!",37680385,Amanda,,City Park,29.98258,-90.10249,Entire home/apt,60,30,66,2020-05-31,1.66,1,10
17070070,"Magazine Mansion,New Orleans,HotTub 17str- 03861",4981655,Jim,,Lower Garden District,29.93261,-90.0735,Entire home/apt,650,3,63,2020-03-15,1.68,16,252
17096325,Cute retreat near Garden District,114724592,Greg & Margie,,Central City,29.93286,-90.08564,Private room,115,2,56,2020-02-24,1.39,1,90
17104195,The Charm Of N.O.L.A,114817985,Bob,,Central City,29.93828,-90.08266,Entire home/apt,350,1,67,2020-02-26,1.66,5,365
17119698,Chic Balcony Retreat by Tulane *Monthly Discount*,30499637,Annie,,East Carrollton,29.9434,-90.12627,Entire home/apt,89,30,140,2020-04-16,3.52,1,0
17122694,Stylish Guesthouse in Historic Building near Audubon Park,69561042,Joseph,,West Riverside,29.92245,-90.12243,Entire home/apt,100,3,107,2020-03-05,2.68,1,111
17124653,2 Blocks from the Trolley/Street Car,115041737,Nicole,,Central City,29.93019,-90.08964,Entire home/apt,179,2,49,2020-03-15,1.24,1,166
17125361,Charming Royal Queen Blocks from French Quarter,110887182,Ashley & Chris,,Treme - Lafitte,29.96323,-90.06993,Entire home/apt,650,2,123,2020-05-22,3.06,7,333
17140473,Majestic Lake House NOLA,115231270,Diana,,Lake Catherine,30.06996,-89.80844,Entire home/apt,375,3,15,2019-12-27,0.46,1,338
17142859,"Cozy, Historic, Mid-City Cottage",113005201,Natalie,,Bayou St. John,29.97306,-90.08265,Entire home/apt,106,30,26,2019-05-27,0.65,1,0
17143999,Phenomenal Stay Alfred at Factors Row,114353388,Stay Alfred,,Central Business District,29.95092,-90.07154,Entire home/apt,1053,2,6,2020-03-09,0.17,86,360
17144000,Stunning Stay Alfred at Factors Row,114353388,Stay Alfred,,Central Business District,29.94948,-90.07174,Entire home/apt,1053,30,2,2017-06-25,0.05,86,361
17144001,Unbeatable Stay Alfred at Factors Row,114353388,Stay Alfred,,Central Business District,29.95002,-90.07125,Entire home/apt,1053,30,27,2020-03-05,0.67,86,336
17144008,Extraordinary Stay Alfred at Factors Row,114353388,Stay Alfred,,Central Business District,29.95137,-90.07184,Entire home/apt,1053,30,1,2017-07-10,0.03,86,361
17144012,Updated Stay Alfred at Factors Row,114353388,Stay Alfred,,Central Business District,29.95166,-90.07303,Entire home/apt,1053,30,3,2020-01-01,0.12,86,360
17144019,Delightful Stay Alfred at Factors Row,114353388,Stay Alfred,,Central Business District,29.9502,-90.07117,Entire home/apt,1053,30,11,2018-05-28,0.28,86,360
