id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17593269,"★ 6 BR | 10 beds ★ Rainey, 6th St, Convention Ctr",119545750,Greg,,78702,30.25865,-97.7305,Entire home/apt,825,3,90,2020-02-24,2.43,2,0
17593391,★Summit Bungalow★ 3 BR for business & families!,4922727,Kyle,,78741,30.24211,-97.73392,Entire home/apt,149,2,8,2017-07-07,0.21,3,19
17597425,"Perfect Rainey St Location, Luxury Apartment!",24594253,Nassim,,78701,30.26067,-97.73837,Entire home/apt,400,2,3,2017-07-09,0.08,1,0
17599779,Little Blue House in South Austin,1476605,Dan,,78745,30.21656,-97.76656,Private room,150,1,187,2020-04-09,4.85,1,0
17604076,Downstairs Room In Modern House 5,26022847,Julian,,78721,30.28179,-97.67744,Private room,65,1,24,2020-03-16,1.09,5,0
17604822,Cozy Apartment - 10-15 minutes from downtown!,119647236,Jonathan,,78745,30.21099,-97.8222,Entire home/apt,300,5,0,,,1,365
17606728,**Home with easy SXSW access**,119667669,Diana And Gary,,78758,30.41435,-97.70148,Entire home/apt,100,1,1,2018-03-18,0.04,1,0
17607019,Oxford's quiet den on Wolf Run,93321092,Martin,,78749,30.23175,-97.85013,Private room,150,1,0,,,1,0
17607193,New town home in nice neighborhood,54561793,Adam,,78723,30.29481,-97.69715,Private room,10000,1,0,,,1,364
17607509,On The Creek,119672642,Kolby,,78746,30.3034,-97.79609,Private room,150,2,0,,,1,364
17607634,South Austin Home waiting for you!,5986989,Janet,,78739,30.16549,-97.86411,Entire home/apt,200,2,19,2020-03-08,0.52,1,143
17608389,SXSW Central Downtown Clarksville Apartment,28187138,Lauren,,78703,30.27825,-97.76125,Entire home/apt,300,2,0,,,1,0
17608456,Do Austin Like a Local: Airy Eastside 3/1,1798491,Blaine & Rachel,,78721,30.27709,-97.6782,Entire home/apt,130,1,288,2020-04-20,7.44,2,89
17608988,East Austin Artist Master bedroom,1352231,Raquel,,78702,30.2764,-97.71186,Private room,120,2,9,2019-11-03,0.28,2,238
17609022,SoCo SXSW Room in Chill PaD,47081884,Rolando,,78704,30.23514,-97.74943,Private room,150,1,0,,,1,365
